,0,date
ACCD,-71,2023-03-07
ACCO,590,2023-03-07
ACMR,14,2023-03-07
ACVA,-57,2023-03-07
ADEA,345,2023-03-07
ADNT,-20,2023-03-07
AGIO,75,2023-03-07
AGTI,-52,2023-03-07
AMEH,-20,2023-03-07
ANF,-25,2023-03-07
ANIP,-19,2023-03-07
ATSG,122,2023-03-07
BAND,201,2023-03-07
BHE,111,2023-03-07
BJRI,-22,2023-03-07
BOOM,-33,2023-03-07
CAAS,436,2023-03-07
CERT,-34,2023-03-07
CMP,4,2023-03-07
CMT,-40,2023-03-07
CNNE,125,2023-03-07
CNXN,62,2023-03-07
COUR,186,2023-03-07
CRNC,-26,2023-03-07
CRSR,-53,2023-03-07
CTRN,33,2023-03-07
CVV,-81,2023-03-07
DAN,29,2023-03-07
DFIN,64,2023-03-07
DK,-28,2023-03-07
DMRC,-34,2023-03-07
DRQ,-1,2023-03-07
EHC,48,2023-03-07
FLL,-91,2023-03-07
FOLD,-59,2023-03-07
FORM,-31,2023-03-07
FSTX,-102,2023-03-07
GEO,380,2023-03-07
HAE,40,2023-03-07
HCKT,138,2023-03-07
HLX,-106,2023-03-07
IDYA,-40,2023-03-07
INVE,-102,2023-03-07
JOUT,2,2023-03-07
KTCC,-109,2023-03-07
LIVN,-20,2023-03-07
LNTH,-11,2023-03-07
LTH,-47,2023-03-07
MEC,-49,2023-03-07
MEDP,12,2023-03-07
MERC,300,2023-03-07
NEWR,-11,2023-03-07
NTCT,114,2023-03-07
OCUL,-126,2023-03-07
OI,-38,2023-03-07
OIS,-72,2023-03-07
OSUR,-139,2023-03-07
OUT,123,2023-03-07
PI,-6,2023-03-07
PLAY,-18,2023-03-07
PRDO,169,2023-03-07
PSTX,482,2023-03-07
QDEL,-9,2023-03-07
RELY,-46,2023-03-07
RMAX,148,2023-03-07
RMR,92,2023-03-07
SBGI,202,2023-03-07
SDGR,-34,2023-03-07
SHYF,70,2023-03-07
SKYW,-34,2023-03-07
SSRM,239,2023-03-07
STRA,37,2023-03-07
SWI,350,2023-03-07
TBI,173,2023-03-07
TILE,363,2023-03-07
UCTT,102,2023-03-07
VMD,302,2023-03-07
VSH,148,2023-03-07
VYGR,362,2023-03-07
WMK,38,2023-03-07
XPRO,-31,2023-03-07
ZD,39,2023-03-07
ZEUS,-15,2023-03-07
