,Unnamed: 0,Unnamed: 0.1,0,date,0.1,0
ACCD,,,,2023-03-07,,-97
ACCO,,,,2023-03-07,,153
ACIW,,,,2023-03-07,,39
ACMR,,,,2023-03-07,,69
ACVA,,,,2023-03-07,,-78
ADEA,,,,2023-03-07,,107
ADTN,,,,2023-03-07,,50
AGIO,,,,2023-03-07,,34
AGTI,,,,2023-03-07,,-57
AIN,,,,2023-03-07,,8
ALLO,,,,2023-03-07,,167
AMEH,,,,2023-03-07,,-27
AMKR,,,,2023-03-07,,31
AMN,,,,2023-03-07,,11
AMRK,,,,2023-03-07,,35
ANF,,,,2023-03-07,,-43
ANIP,,,,2023-03-07,,-27
ARWR,,,,2023-03-07,,32
ASPN,,,,2023-03-07,,99
ATSG,,,,2023-03-07,,37
AWR,,,,2023-03-07,,9
BAND,,,,2023-03-07,,62
BCC,,,,2023-03-07,,12
BHE,,,,2023-03-07,,34
BJRI,,,,2023-03-07,,-31
BKE,,,,2023-03-07,,21
BOOM,,,,2023-03-07,,-46
BRDG,,,,2023-03-07,,73
CAAS,,,,2023-03-07,,113
CERT,,,,2023-03-07,,-46
CLFD,,,,2023-03-07,,16
CMP,,,,2023-03-07,,25
CNNE,,,,2023-03-07,,38
CNXN,,,,2023-03-07,,23
COLM,,,,2023-03-07,,11
CORT,,,,2023-03-07,,38
COUR,,,,2023-03-07,,66
CPRI,,,,2023-03-07,,20
CRI,,,,2023-03-07,,11
CRNC,,,,2023-03-07,,-35
CRSR,,,,2023-03-07,,-59
CSGS,,,,2023-03-07,,14
CTRN,,,,2023-03-07,,36
CVV,,,,2023-03-07,,-110
DAN,,,,2023-03-07,,62
DDS,,,,2023-03-07,,2
DFIN,,,,2023-03-07,,24
DK,,,,2023-03-07,,-48
DNB,,,,2023-03-07,,81
DXLG,,,,2023-03-07,,168
EBIX,,,,2023-03-07,,60
EGRX,,,,2023-03-07,,31
EHC,,,,2023-03-07,,15
ENLC,,,,2023-03-07,,86
ENTA,,,,2023-03-07,,20
EVA,,,,2023-03-07,,25
FLL,,,,2023-03-07,,-125
FN,,,,2023-03-07,,7
FOLD,,,,2023-03-07,,-101
FORM,,,,2023-03-07,,-34
FWRD,,,,2023-03-07,,7
GEO,,,,2023-03-07,,118
GFF,,,,2023-03-07,,22
GMED,,,,2023-03-07,,17
GPS,,,,2023-03-07,,81
HAE,,,,2023-03-07,,10
HAYW,,,,2023-03-07,,69
HCAT,,,,2023-03-07,,61
HCKT,,,,2023-03-07,,51
HCSG,,,,2023-03-07,,79
HLIT,,,,2023-03-07,,78
HLX,,,,2023-03-07,,-144
HOUS,,,,2023-03-07,,189
HRB,,,,2023-03-07,,27
HRMY,,,,2023-03-07,,19
ICHR,,,,2023-03-07,,26
IDYA,,,,2023-03-07,,-68
INBS,,,,2023-03-07,,134
INVE,,,,2023-03-07,,-138
JOUT,,,,2023-03-07,,15
KN,,,,2023-03-07,,60
LEG,,,,2023-03-07,,29
LIVN,,,,2023-03-07,,-22
LPSN,,,,2023-03-07,,92
MDRX,,,,2023-03-07,,68
MEC,,,,2023-03-07,,-83
MEDP,,,,2023-03-07,,4
MEG,,,,2023-03-07,,22
MERC,,,,2023-03-07,,77
MHK,,,,2023-03-07,,9
MNTK,,,,2023-03-07,,81
MRTX,,,,2023-03-07,,23
MSEX,,,,2023-03-07,,10
MTX,,,,2023-03-07,,13
MYE,,,,2023-03-07,,45
