,0,date
ACAD,-51,2023-02-27
ACCO,174,2023-02-27
ACIW,38,2023-02-27
ADNT,-23,2023-02-27
ADUS,8,2023-02-27
AE,-17,2023-02-27
AEHR,30,2023-02-27
AGIO,36,2023-02-27
AI,-44,2023-02-27
AIN,8,2023-02-27
ALEC,105,2023-02-27
ALLO,145,2023-02-27
AMKR,38,2023-02-27
AMN,10,2023-02-27
AMRC,19,2023-02-27
AMRK,31,2023-02-27
AMSWA,70,2023-02-27
ANAB,-43,2023-02-27
ATSG,46,2023-02-27
AVD,43,2023-02-27
BHE,38,2023-02-27
BIGC,94,2023-02-27
BKE,22,2023-02-27
BMBL,-45,2023-02-27
CALX,18,2023-02-27
CECO,-73,2023-02-27
CERT,-55,2023-02-27
CMP,23,2023-02-27
CMT,-61,2023-02-27
CMTL,-63,2023-02-27
CNX,64,2023-02-27
CNXN,21,2023-02-27
COLM,10,2023-02-27
CPRI,19,2023-02-27
CRGY,77,2023-02-27
CRI,12,2023-02-27
CRTO,-29,2023-02-27
CSII,-50,2023-02-27
CTRN,33,2023-02-27
CTS,23,2023-02-27
CVLG,26,2023-02-27
CVV,-94,2023-02-27
CXW,100,2023-02-27
DAN,58,2023-02-27
DDS,2,2023-02-27
DNB,83,2023-02-27
DXLG,168,2023-02-27
DY,11,2023-02-27
DZSI,93,2023-02-27
EAF,176,2023-02-27
ENLC,86,2023-02-27
ENTA,20,2023-02-27
EVI,43,2023-02-27
EZPW,112,2023-02-27
FET,30,2023-02-27
FF,115,2023-02-27
FORM,-35,2023-02-27
FOUR,16,2023-02-27
GEO,110,2023-02-27
GES,43,2023-02-27
GFF,27,2023-02-27
GMED,16,2023-02-27
HAE,12,2023-02-27
HCKT,49,2023-02-27
HEP,54,2023-02-27
HESM,32,2023-02-27
HLIT,69,2023-02-27
HLX,-118,2023-02-27
HOUS,165,2023-02-27
HP,23,2023-02-27
HUN,31,2023-02-27
IDYA,-63,2023-02-27
IMKTA,11,2023-02-27
IMMR,132,2023-02-27
INFU,-115,2023-02-27
IRBT,22,2023-02-27
JOUT,15,2023-02-27
KIDS,20,2023-02-27
KN,55,2023-02-27
LIVN,20,2023-02-27
MCS,-67,2023-02-27
MDRX,59,2023-02-27
MEDP,4,2023-02-27
MERC,86,2023-02-27
MMI,29,2023-02-27
MRTX,20,2023-02-27
MTX,16,2023-02-27
MUR,24,2023-02-27
MXL,26,2023-02-27
MYGN,53,2023-02-27
NAPA,65,2023-02-27
NARI,15,2023-02-27
NE,24,2023-02-27
NRIX,102,2023-02-27
NTCT,32,2023-02-27
NTGR,55,2023-02-27
NUS,22,2023-02-27
NUVA,22,2023-02-27
NUWE,110,2023-02-27
ODP,20,2023-02-27
OI,-45,2023-02-27
OSK,10,2023-02-27
OSUR,-162,2023-02-27
OUT,56,2023-02-27
PAR,-29,2023-02-27
PBH,15,2023-02-27
PDCE,14,2023-02-27
PDCO,37,2023-02-27
PETQ,103,2023-02-27
PFSW,-168,2023-02-27
PGNY,32,2023-02-27
PLAB,51,2023-02-27
PLAY,-25,2023-02-27
PLXS,9,2023-02-27
PRDO,67,2023-02-27
PRFT,13,2023-02-27
PSTX,161,2023-02-27
PTEN,66,2023-02-27
PTVE,85,2023-02-27
PUMP,110,2023-02-27
PVH,11,2023-02-27
QDEL,-12,2023-02-27
RDVT,48,2023-02-27
RELL,43,2023-02-27
REPX,33,2023-02-27
REYN,33,2023-02-27
RICK,12,2023-02-27
RMR,32,2023-02-27
ROCC,22,2023-02-27
RPTX,87,2023-02-27
SAM,3,2023-02-27
SATS,-54,2023-02-27
SHLS,37,2023-02-27
SHYF,36,2023-02-27
SKYW,-52,2023-02-27
SLCA,79,2023-02-27
SM,30,2023-02-27
SMLR,39,2023-02-27
SOI,102,2023-02-27
SPR,-31,2023-02-27
SPTN,34,2023-02-27
SSRM,72,2023-02-27
STAA,17,2023-02-27
STRA,11,2023-02-27
SWI,115,2023-02-27
TILE,103,2023-02-27
TPC,-121,2023-02-27
TTMI,74,2023-02-27
ULCC,88,2023-02-27
VIR,43,2023-02-27
VRA,-185,2023-02-27
VRNS,-39,2023-02-27
VSH,43,2023-02-27
VTLE,19,2023-02-27
VTOL,35,2023-02-27
VVI,37,2023-02-27
VYGR,138,2023-02-27
WHD,20,2023-02-27
WMK,11,2023-02-27
WWD,9,2023-02-27
XPRO,-43,2023-02-27
YETI,25,2023-02-27
